10,美食,112, 小吃快餐
10,美食,101, 本帮江浙菜
10,美食,116, 西餐
10,美食,113, 日本菜
10,美食,110, 火锅
10,美食,103, 粤菜
10,美食,117, 面包甜点
10,美食,132, 咖啡厅
10,美食,34236, 饮品店
10,美食,508, 烧烤
10,美食,102, 川菜
10,美食,111, 自助餐
10,美食,215, 面馆
10,美食,219, 小龙虾
10,美食,251, 江河湖海鲜
10,美食,115, 东南亚菜
10,美食,114, 韩国料理
10,美食,118, 其他美食
10,美食,104, 湘菜
10,美食,25474, 农家菜
10,美食,3243, 新疆菜
10,美食,26481, 西北菜
10,美食,34284, 特色菜
10,美食,311, 北京菜
10,美食,106, 东北菜
10,美食,6743, 云贵菜
10,美食,2714, 水果生鲜
10,美食,250, 创意菜
10,美食,107, 台湾菜
10,美食,1338, 私房菜
10,美食,109, 素食
10,美食,113, 日本料理
10,美食,34059, 福建菜
10,美食,117, 面包/饮品
10,美食,33759, 食品保健
10,美食,1783, 家常菜
10,美食,251, 海鲜
10,美食,247, 江西菜
10,美食,508, 烧肉
10,美食,215, 面条
10,美食,34055, 早茶
10,美食,508, 烤肉
10,美食,133, 酒吧
10,美食,103, 潮粤菜
10,美食,247, 赣菜
10,美食,103, 粤菜/潮州菜
10,美食,34014, 下午茶
10,美食,114, 朝韩料理
10,美食,134, 茶馆
10,美食,25474, 苏北土菜
15,K歌,135, KTV
15,K歌,2892, 娱乐会所
15,K歌,2894, 录音棚
20,购物,119, 综合商场
20,购物,187, 超市/便利店
20,购物,32720, 奢侈品
20,购物,34208, 快时尚
20,购物,33943, 服装
20,购物,121, 运动户外
20,购物,128, 眼镜店
20,购物,34149, 植物花卉
20,购物,120, 其他服饰鞋包
20,购物,127, 书店音像
20,购物,33944, 鞋靴
20,购物,124, 数码产品
20,购物,34207, 轻奢
20,购物,33858, 居家日用
20,购物,129, 特色集市
20,购物,131, 更多购物场所
20,购物,34124, 杂货礼品
20,购物,120, 服饰鞋包
20,购物,34269, 配饰
20,购物,32739, 免税店
20,购物,6716, 钟表
20,购物,33760, 烟酒茶叶
20,购物,33906, 内衣
20,购物,130, 折扣店
20,购物,26101, 办公/文化用品
20,购物,33905, 箱包
20,购物,34204, 自行/电动车及配件
20,购物,123, 化妆品
20,购物,235, 药妆店
20,购物,130, 品牌折扣店
20,购物,125, 亲子购物
20,购物,2776, 批发店
20,购物,124, 数码电器
20,购物,32698, 古玩字画
20,购物,34114, 乐器
20,购物,6716, 精工名表
20,购物,127, 图书音像
20,购物,235, 药店
20,购物,126, 家居建材
20,购物,125, 母婴购物
20,购物,2714, 水果生鲜
25,电影演出赛事,33877, 剧场/剧院
25,电影演出赛事,33878, 音乐厅/礼堂
25,电影演出赛事,33879, 艺术中心/文化广场
25,电影演出赛事,33880, 热门演出
25,电影演出赛事,33881, 赛事展览
25,电影演出赛事,33882, 其他电影演出赛事
25,电影演出赛事,136, 电影院
25,电影演出赛事,25461, 演出场馆
30,休闲娱乐,141, 按摩/足疗
30,休闲娱乐,2754, 密室
30,休闲娱乐,133, 酒吧
30,休闲娱乐,140, 洗浴/汗蒸
30,休闲娱乐,20038, 采摘/农家乐
30,休闲娱乐,134, 茶馆
30,休闲娱乐,144, DIY手工坊
30,休闲娱乐,34090, 新奇体验
30,休闲娱乐,142, 文化艺术
30,休闲娱乐,137, 游乐游艺
30,休闲娱乐,20041, 私人影院
30,休闲娱乐,32732, 棋牌室
30,休闲娱乐,20040, 轰趴馆
30,休闲娱乐,6694, 桌面游戏
30,休闲娱乐,34089, 团建拓展
30,休闲娱乐,20042, 网吧/电竞
30,休闲娱乐,33857, VR
30,休闲娱乐,136, 电影院
30,休闲娱乐,135, KTV
