83131337	
83131337	利群百货
10804772	
10804772	万迪百货
127495070	
127495070	喜悦城商业中心
127503244	
127503244	沃尔百货
7184296	
7184296	众乐福百货
69582114	
69582114	荣耀日用百货
127255974	
127255974	李华信商场
125106126	
125106126	江岭百货
127572828	
127572828	良品商铺
124957923	
124957923	深圳尚盈网络速配商铺
99333818	
99333818	名都百货
74886498	
74886498	锦标百货
127262718	
127262718	众乐福百货
69109441	
69109441	家宝百货
105792659	
105792659	坪兴百货
16636453	
16636453	星雅星百货
48938097	
48938097	润之家百货
15625924	
15625924	兆远百货
106864409	
106864409	九块九百货
49633788	
49633788	牛来百货
7229532	
7229532	妙兴百货
7152825	
7152825	惠民福百货
16285165	
16285165	惠兴购物商场
127484532	
127484532	伟源百货分店
41453300	
41453300	荣兴平价商场
65307324	
65307324	瑞华百货
130285670	
130285670	斌威百货
49320798	
49320798	新振兴百货
63057497	
63057497	沃购百货
69573182	
69573182	鹏新百货
127360909	
127360909	联成百货
127328929	
127328929	嘻洋洋百货
10799878	
10799878	增源百货商场
127263082	
127263082	国意康百货
50032522	
50032522	新万佳百货
106897170	
106897170	鸿达兴百货
69581921	
69581921	嘉利华百货
127211827	
127211827	娟娟百货
127271278	
127271278	万佳鑫百货
49284730	
49284730	彬润百货
127161067	
127161067	同烊百货
128679390	
128679390	家家乐百货
127329436	
127329436	鑫易购百货
65307343	
65307343	富鑫隆商场
124185248	
124185248	铃发百货
124076894	
124076894	盛源百货
128707707	
128707707	惠正兴百货
127161526	
127161526	阿龙百货
40612709	
40612709	鑫旺记百货
107335859	
107335859	九块九百货
64835290	
64835290	协兴百货
122114529	
122114529	福安百货
69581864	
69581864	怡佳百货
10798954	
10798954	兴旺百货商场
112187539	
112187539	智龙
16569044	
16569044	万源福百货
69582051	
69582051	万湘源百货
107808325	
107808325	白马商场
106624924	
106624924	壹佳百货
127340324	
127340324	绿色百货
109154176	
109154176	红太阳百货
7180792	
7180792	庆乐福百货
16612860	
16612860	新达百货
107927794	
107927794	鹏达百货
128879801	
128879801	好实惠百货
127476584	
127476584	荣记百货
33025566	
33025566	德新百货
107835925	
107835925	亿兴荣百货
74737163	
74737163	家惠百货城
10806164	
10806164	阳光百货
107605771	
107605771	蔡思百货
32814189	
32814189	泰富中心广场商铺
7153995	
7153995	青记百货
59453311	
59453311	汇利达百货
127685790	
127685790	盈华百货商行
